site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,network_generation,network_generation_inferred,network_generation_confidence,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,vn,【ベトナムeSIM】3日間 1GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,1680,,General seller,17,,,,3일,3일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",1GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-3%e6%97%a5%e9%96%93-1GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216815003,,1216815003,インスタントSIM,,"{""title"": [""【ベトナムeSIM】3日間 1GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 1,680円""], ""usage_validity"": [""【ベトナムeSIM】3日間 1GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】3日間 1GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】3日間 1GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナムeSIM】10日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,3980,,General seller,18,,,,10일,10일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-10%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814946,,1216814946,インスタントSIM,,"{""title"": [""【ベトナムeSIM】10日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 3,980円""], ""usage_validity"": [""【ベトナムeSIM】10日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】10日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】10日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナムeSIM】7日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,2980,,General seller,19,,,,7일,7일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-7%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814877,,1216814877,インスタントSIM,,"{""title"": [""【ベトナムeSIM】7日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 2,980円""], ""usage_validity"": [""【ベトナムeSIM】7日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】7日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】7日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,ベトナムeSIM 安心の日本企業 1日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,370,,Power seller,20,,,,1일,1일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": true, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-1%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af-%e6%9c%80%e7%9f%ad%e5%8d%b3%e6%97%a5%e7%99%ba%e8%a1%8c/1145495783,,1145495783,いーしむさん,,"{""title"": [""ベトナムeSIM 安心の日本企業 1日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 370円""], ""usage_validity"": [""ベトナムeSIM 安心の日本企業 1日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""ベトナムeSIM 安心の日本企業 1日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""ベトナムeSIM 安心の日本企業 1日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""carrier_support_local"": [""VinaPhone: [Qoo10] ベトナムeSIM 安心の日本企業 1日間 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【ベトナムeSIM】6日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,2780,,General seller,21,,,,6일,6일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-6%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814861,,1216814861,インスタントSIM,,"{""title"": [""【ベトナムeSIM】6日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 2,780円""], ""usage_validity"": [""【ベトナムeSIM】6日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】6日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】6日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナムeSIM】5日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,2480,,General seller,22,,,,5일,5일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-5%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814821,,1216814821,インスタントSIM,,"{""title"": [""【ベトナムeSIM】5日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 2,480円""], ""usage_validity"": [""【ベトナムeSIM】5日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】5日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】5日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナムeSIM】4日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,2280,,General seller,23,,,,4일,4일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-4%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814792,,1216814792,インスタントSIM,,"{""title"": [""【ベトナムeSIM】4日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 2,280円""], ""usage_validity"": [""【ベトナムeSIM】4日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】4日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】4日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,vn,【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナム esim,660,,Power seller,24,,,,5일,5일,3일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-3-5%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1180555240,,1180555240,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【ベトナム eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 ベトナムeSIM 3-5日間 QRコードで ベトナム esim""], ""option_candidates"": [""ベトナム 2日（超高速無限データ）"", ""ベトナム 3日（超高速無限データ）"", ""ベトナム 4日（超高速無限データ）""], ""representative_option"": [""ベトナム 5日（超高速無限データ）"", ""title_match_score=6""], ""price_jpy"": [""販売価格 660円 + option surcharge 0"", ""ベトナム 5日（超高速無限データ）""], ""usage_validity"": [""ベトナム 5日（超高速無限データ）""], ""activation_validity"": [""【フィリピンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 フィリピンSIM セブ島 1,550円 4.6 (25) 1,240 円 メガ割時""], ""data_amount"": [""ベトナム 5日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 6-10日間 データ無制限 eSIM 6日間 無制限 QRコードで ベトナム esim 7日間 esimベトナム,990,2,Power seller,25,,,,10일,10일,6일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-6-10%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-6%e6%97%a5%e9%96%93/1180559479,,1180559479,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 6-10日間 データ無制限 eSIM 6日間 無制限 QRコードで ベトナム esim 7日間 esimベトナム""], ""option_candidates"": [""ベトナム 5日（超高速無限データ）"", ""ベトナム 6日（超高速無限データ）"", ""ベトナム 7日（超高速無限データ）""], ""representative_option"": [""ベトナム 10日（超高速無限データ）"", ""title_match_score=8""], ""price_jpy"": [""販売価格 990円 + option surcharge 0"", ""ベトナム 10日（超高速無限データ）""], ""usage_validity"": [""ベトナム 10日（超高速無限データ）""], ""activation_validity"": [""【ベトナム eSIM データ無制限】ベトナム eSIM 正規eSIM 超高速 6-10日間 データ無制限 eSIM 6日間 無制限 QRコードで ベトナム esim 7日間 esimベトナム""], ""data_amount"": [""ベトナム 10日（超高速無限データ）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,vn,【ベトナムeSIM】3日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張,2080,,General seller,26,,,,3일,3일,90일,local,unknown,,,"{""viettel"": null, ""vinaphone"": null, ""mobifone"": null, ""vietnamobile"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",2GB/day,https://www.qoo10.jp/item/%e3%82%a4%e3%83%b3%e3%82%b9%e3%82%bf%e3%83%b3%e3%83%88SIM-%e3%83%99%e3%83%88%e3%83%8a%e3%83%a0ESIM-3%e6%97%a5%e9%96%93-2GB-%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1-%e6%9c%89%e5%8a%b9%e6%9c%9f%e9%99%9090%e6%97%a5-%e3%83%97%e3%83%aa%e3%83%9a%e3%82%a4%e3%83%89SIM-%e3%82%a4%e3%83%bc%e3%82%b7%e3%83%a0-%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e3%83%86%e3%82%b6%e3%83%aa%e3%83%b3%e3%82%b0/1216814575,,1216814575,インスタントSIM,,"{""title"": [""【ベトナムeSIM】3日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""price_jpy"": [""販売価格 2,080円""], ""usage_validity"": [""【ベトナムeSIM】3日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""activation_validity"": [""【ベトナムeSIM】3日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""data_amount"": [""【ベトナムeSIM】3日間 2GB/日 高速データ通信 有効期限90日 プリペイドSIM イーシム 低速無制限 テザリング 最短3分QRコード発行 即日発行 簡単設定 ベトナム旅行 海外出張""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,620円 4.9 (37,975) 1,296 円 メガ割時""], ""network_generation"": [""no_lte_4g_or_5g_keyword_matched""], ""seller"": [""インスタントSIM""], ""seller_badge"": [""search_result: General seller""]}"
