site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,us,【アメリカ/ハワイ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ハワイ esim 4日間 esim アメリカ,1300,,Good seller,1,,,,4일,4일,4일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-4%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-ESIM-4%e6%97%a5%e9%96%93/1180514721,,1180514721,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【アメリカ/ハワイ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ハワイ esim 4日間 esim アメリカ""], ""option_candidates"": [""4日 アメリカ/ハワイ （超高速無限データ） - 数量 : 999998""], ""representative_option"": [""4日 アメリカ/ハワイ （超高速無限データ） - 数量 : 999998"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,300円 + option surcharge 0"", ""4日 アメリカ/ハワイ （超高速無限データ） - 数量 : 999998""], ""usage_validity"": [""4日 アメリカ/ハワイ （超高速無限データ） - 数量 : 999998""], ""activation_validity"": [""【アメリカ/ハワイ eSIM データ無制限】アメリカ eSIM 正規eSIM 超高速 4日間 データ無制限 eSIM 4日間 無制限 QRコードで ハワイ esim 4日間 esim アメリカ""], ""data_amount"": [""4日 アメリカ/ハワイ （超高速無限データ） - 数量 : 999998""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,us,【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,2180,26,Power seller,2,,,,3일,3일,7일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-7%e6%97%a5%e9%96%93%ef%bc%8f%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%b9%e9%87%8f%e4%b8%8a%e9%99%90%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%891/1123638428,,1123638428,スマートeSIM,,"{""title"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 2,180円""], ""usage_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""activation_validity"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""data_amount"": [""【5分以内に納品】 アメリカ ハワイ eSIM 7日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 26""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,1520,45,Power seller,3,,,,3일,3일,5일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-5%e6%97%a5%e9%96%93%ef%bc%8f%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%b9%e9%87%8f%e4%b8%8a%e9%99%90%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%891/1123638242,,1123638242,スマートeSIM,,"{""title"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 1,520円""], ""usage_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""activation_validity"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""data_amount"": [""【5分以内に納品】 アメリカ ハワイ eSIM 5日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 45""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ ハワイ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 3-5日間 QRコードで アメリカ esim,1390,12,Power seller,4,,,,5일,5일,3일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-%e3%83%8f%e3%83%af%e3%82%a4/1160043287,,1160043287,正規eSIM 即時対応 180万枚突破 ...,,"{""title"": [""【アメリカ ハワイ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 3-5日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ/ハワイ 3日 （超高速無限データ） - 数量 : 999968"", ""アメリカ/ハワイ 4日（超高速無限データ）(+300円) - 数量 : 999951"", ""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999907""], ""representative_option"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999907"", ""title_match_score=6""], ""price_jpy"": [""販売価格 990円 + option surcharge 400"", ""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999907""], ""usage_validity"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999907""], ""activation_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""data_amount"": [""アメリカ/ハワイ 5日（超高速無限データ）(+400円) - 数量 : 999907""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""正規eSIM 即時対応 180万枚突破 ...""], ""review_count"": [""search_result: 12""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM 3-5日間 QRコードで アメリカ esim,1390,1,Power seller,5,,,,5일,5일,3일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f3-5%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-3-5%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1167819627,,1167819627,正規eSIM 超高速 安心保証⚡,,"{""title"": [""【アメリカ eSIM】 正規eSIM 超高速3-5日間 データ通信専用 即発行即利用可能 アメリカeSIM 3-5日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ 3日 （超高速無限データ） - 数量 : 999999"", ""アメリカ 4日（超高速無限データ）(+300円) - 数量 : 999997"", ""アメリカ 5日（超高速無限データ）(+400円) - 数量 : 999998""], ""representative_option"": [""アメリカ 5日（超高速無限データ）(+400円) - 数量 : 999998"", ""title_match_score=6""], ""price_jpy"": [""販売価格 990円 + option surcharge 400"", ""アメリカ 5日（超高速無限データ）(+400円) - 数量 : 999998""], ""usage_validity"": [""アメリカ 5日（超高速無限データ）(+400円) - 数量 : 999998""], ""activation_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""data_amount"": [""アメリカ 5日（超高速無限データ）(+400円) - 数量 : 999998""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim,1790,3,Power seller,6,,,,7일,7일,6일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f6-7%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-6-7%e6%97%a5%e9%96%93-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1189956927,,1189956927,正規eSIM 即時対応 180万枚突破 ...,,"{""title"": [""【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ 4日（超高速無限データ） - 数量 : 9999"", ""アメリカ 5日（超高速無限データ）(+100円) - 数量 : 9996"", ""アメリカ 6日（超高速無限データ）(+400円) - 数量 : 9993""], ""representative_option"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 9987"", ""title_match_score=6""], ""price_jpy"": [""販売価格 1,290円 + option surcharge 500"", ""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 9987""], ""usage_validity"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 9987""], ""activation_validity"": [""【アメリカ eSIM】 正規eSIM 超高速6-7日間 データ通信専用 即発行即利用可能 アメリカeSIM 6-7日間 QRコードで アメリカ esim""], ""data_amount"": [""アメリカ 7日（超高速無限データ）(+500円) - 数量 : 9987""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""正規eSIM 即時対応 180万枚突破 ...""], ""review_count"": [""search_result: 3""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1790,2,Power seller,8,,,,6일,6일,90일,local,"{""att"": null, ""tmobile"": true, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8f%e3%83%af%e3%82%a4ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-6%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1145725703,,1145725703,いーしむさん,,"{""title"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,790円""], ""usage_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""アメリカ・ハワイeSIM 安心の日本企業 6日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""carrier_support_local"": [""T-Mobile: [Qoo10] アメリカ・ハワイeSIM 安心の日本企業 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用,1390,3,Power seller,9,,,,5일,5일,90일,local,"{""att"": null, ""tmobile"": true, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e3%83%bb%e3%83%8f%e3%83%af%e3%82%a4ESIM-%e5%ae%89%e5%bf%83%e3%81%ae%e6%97%a5%e6%9c%ac%e4%bc%81%e6%a5%ad-5%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e4%bd%8e%e9%80%9f%e3%81%aa%e3%81%97-%e6%97%a5%e6%9c%ac%e4%ba%ba%e3%82%b9%e3%82%bf%e3%83%83%e3%83%95%e3%81%ab%e3%82%88%e3%82%8bLINE%e3%82%b5%e3%83%9d%e3%83%bc%e3%83%88-%e3%81%8a%e6%80%a5%e3%81%8e%e3%81%ae%e6%96%b9%e7%9b%b8%e8%ab%87%e5%8f%af/1145720697,,1145720697,いーしむさん,,"{""title"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""price_jpy"": [""販売価格 1,390円""], ""usage_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""activation_validity"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""data_amount"": [""アメリカ・ハワイeSIM 安心の日本企業 5日間 無制限 低速なし 日本人スタッフによるLINEサポート(お急ぎの方相談可) 最短即日発行 有効期限90日 パスポート番号不要 データ通信専用""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""carrier_support_local"": [""T-Mobile: [Qoo10] アメリカ・ハワイeSIM 安心の日本企業 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpost""], ""seller"": [""いーしむさん""], ""review_count"": [""search_result: 3""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【5分以内に納品】 アメリカ ハワイ eSIM 1日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効,680,2,Power seller,10,,,,1일,1일,3일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-1%e6%97%a5%e9%96%93%ef%bc%8f%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e3%83%87%e3%83%bc%e3%82%bf%e5%ae%b9%e9%87%8f%e4%b8%8a%e9%99%90%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8f%e3%81%94%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%891/1123637358,,1123637358,スマートeSIM,,"{""title"": [""【5分以内に納品】 アメリカ ハワイ eSIM 1日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""price_jpy"": [""販売価格 680円""], ""usage_validity"": [""【5分以内に納品】 アメリカ ハワイ eSIM 1日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""activation_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""data_amount"": [""【5分以内に納品】 アメリカ ハワイ eSIM 1日間／無制限（データ容量上限無し）／5G・4G高速データ通信／パスポート登録不要／ご購入から180日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,us,【アメリカ ハワイ eSIM】 正規eSIM 超高速6-10日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 6-10日間 QRコードで アメリカ esim,2680,1,Good seller,20,,,,10일,10일,6일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab-%e3%83%8f%e3%83%af%e3%82%a4-ESIM-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f6-10%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%e5%b0%82%e7%94%a8-%e5%8d%b3%e7%99%ba%e8%a1%8c%e5%8d%b3%e5%88%a9%e7%94%a8%e5%8f%af%e8%83%bd-%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%abESIM-%e3%83%8f%e3%83%af%e3%82%a4/1187795698,,1187795698,正規eSIM 即時対応 100万枚突破 ...,,"{""title"": [""【アメリカ ハワイ eSIM】 正規eSIM 超高速6-10日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 6-10日間 QRコードで アメリカ esim""], ""option_candidates"": [""アメリカ/ハワイ 6日 （超高速無限データ） - 数量 : 999994"", ""アメリカ/ハワイ 7日（超高速無限データ）(+100円) - 数量 : 999999"", ""アメリカ/ハワイ 8日（超高速無限データ）(+810円) - 数量 : 999998""], ""representative_option"": [""アメリカ/ハワイ 10日（超高速無限データ）(+890円) - 数量 : 999996"", ""title_match_score=6""], ""price_jpy"": [""販売価格 1,790円 + option surcharge 890"", ""アメリカ/ハワイ 10日（超高速無限データ）(+890円) - 数量 : 999996""], ""usage_validity"": [""アメリカ/ハワイ 10日（超高速無限データ）(+890円) - 数量 : 999996""], ""activation_validity"": [""【アメリカ ハワイ eSIM】 正規eSIM 超高速6-10日間 データ通信専用 即発行即利用可能 アメリカeSIM ハワイ esim 6-10日間 QRコードで アメリカ esim""], ""data_amount"": [""アメリカ/ハワイ 10日（超高速無限データ）(+890円) - 数量 : 999996""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""正規eSIM 即時対応 100万枚突破 ...""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: Good seller""]}"
qoo10_jp,us,アメリカ用データSIMカード 30日間 1日3GB高速＋低速無制限 日本国内即日発送（Amazon倉庫）,10516,,General seller,21,,,,3일,3일,30일,local,"{""att"": null, ""tmobile"": null, ""verizon"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",3GB/day,https://www.qoo10.jp/item/%e3%82%a2%e3%83%a1%e3%83%aa%e3%82%ab%e7%94%a8%e3%83%87%e3%83%bc%e3%82%bfSIM%e3%82%ab%e3%83%bc%e3%83%89-30%e6%97%a5%e9%96%93-1%e6%97%a53GB%e9%ab%98%e9%80%9f%ef%bc%8b%e4%bd%8e%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-%e6%97%a5%e6%9c%ac%e5%9b%bd%e5%86%85%e5%8d%b3%e6%97%a5%e7%99%ba%e9%80%81%ef%bc%88AMAZON%e5%80%89%e5%ba%ab%ef%bc%89/1189647281,,1189647281,ESIMTONG 公式ストア,,"{""title"": [""アメリカ用データSIMカード 30日間 1日3GB高速＋低速無制限 日本国内即日発送（Amazon倉庫）""], ""price_jpy"": [""販売価格 10,516円""], ""usage_validity"": [""【グアム・サイパンeSIM】3日間(72時間) データ通信無制限 オンラインサービスにて即日送信(LINE相談受付中) 有効期限 / ご購入日より90日以内 グアムSIM サイパンSIM 2,900円 1,900円 4.8 (52) 1,710 円 メガポ時""], ""activation_validity"": [""アメリカ用データSIMカード 30日間 1日3GB高速＋低速無制限 日本国内即日発送（Amazon倉庫）""], ""data_amount"": [""アメリカ用データSIMカード 30日間 1日3GB高速＋低速無制限 日本国内即日発送（Amazon倉庫）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (35,991) 1,512 円 メガポ時""], ""seller"": [""ESIMTONG 公式ストア""], ""seller_badge"": [""search_result: General seller""]}"
